Make,Model,Vehicle Type,Vehicle Type NEW
ACURA,CL,PASSENGER CAR,Passenger Car
ACURA,ILX,PASSENGER CAR,Passenger Car
ACURA,INTEGRA,PASSENGER CAR,Passenger Car
ACURA,MDX,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
ACURA,RDX,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
ACURA,RL,PASSENGER CAR,Passenger Car
ACURA,RLX,PASSENGER CAR,Passenger Car
ACURA,RSX,PASSENGER CAR,Passenger Car
ACURA,TL,PASSENGER CAR,Passenger Car
BMW,M4,PASSENGER CAR,Passenger Car
ACURA,TLX,PASSENGER CAR,Passenger Car
ACURA,TSX,PASSENGER CAR,Passenger Car
AUDI,A3,PASSENGER CAR,Passenger Car
AUDI,A4,PASSENGER CAR,Passenger Car
BMW,328I,PASSENGER CAR,Passenger Car
AUDI,A4 ALLROAD,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
AUDI,A5,PASSENGER CAR,Passenger Car
AUDI,A6,PASSENGER CAR,Passenger Car
AUDI,ALLROAD,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
AUDI,Q3,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
AUDI,Q5,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
AUDI,Q7,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
AUDI,S4,PASSENGER CAR,Passenger Car
AUDI,SQ5,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
AUDI,TT,PASSENGER CAR,Passenger Car
BMW,128I,PASSENGER CAR,Passenger Car
BMW,135I,PASSENGER CAR,Passenger Car
BMW,230I,PASSENGER CAR,Passenger Car
BMW,318IS,PASSENGER CAR,Passenger Car
BMW,320I,PASSENGER CAR,Passenger Car
BMW,323,PASSENGER CAR,Passenger Car
BMW,323I,PASSENGER CAR,Passenger Car
BMW,325,PASSENGER CAR,Passenger Car
BMW,325CI,PASSENGER CAR,Passenger Car
BMW,325CIC,PASSENGER CAR,Passenger Car
BMW,325I,PASSENGER CAR,Passenger Car
BMW,325XI,PASSENGER CAR,Passenger Car
BMW,328D,PASSENGER CAR,Passenger Car
BMW,328IC,PASSENGER CAR,Passenger Car
BMW,328IS,PASSENGER CAR,Passenger Car
BMW,328XI,PASSENGER CAR,Passenger Car
BMW,330CI,PASSENGER CAR,Passenger Car
BMW,330I,PASSENGER CAR,Passenger Car
BMW,330XI,PASSENGER CAR,Passenger Car
BMW,335I,PASSENGER CAR,Passenger Car
BMW,335XI,PASSENGER CAR,Passenger Car
BMW,428I,PASSENGER CAR,Passenger Car
BMW,435I,PASSENGER CAR,Passenger Car
BMW,525IT,PASSENGER CAR,Passenger Car
BMW,528I,PASSENGER CAR,Passenger Car
BMW,530I,PASSENGER CAR,Passenger Car
BMW,530XIT,PASSENGER CAR,Passenger Car
BMW,535I,PASSENGER CAR,Passenger Car
BMW,535XI,PASSENGER CAR,Passenger Car
BMW,540I,PASSENGER CAR,Passenger Car
BMW,540IA,PASSENGER CAR,Passenger Car
BMW,550I,PASSENGER CAR,Passenger Car
BMW,645CI,PASSENGER CAR,Passenger Car
BMW,740IL,PASSENGER CAR,Passenger Car
BMW,750I / ALPINA B7,PASSENGER CAR,Passenger Car
BMW,750LI,PASSENGER CAR,Passenger Car
BMW,F 700 GS,MOTORCYCLE,Motorcycle
BMW,F 800 ST,MOTORCYCLE,Motorcycle
BMW,G 650 GS,MOTORCYCLE,Motorcycle
BMW,K 1600 GT,MOTORCYCLE,Motorcycle
BMW,M235I,PASSENGER CAR,Passenger Car
BMW,M3,PASSENGER CAR,Passenger Car
BMW,M5,PASSENGER CAR,Passenger Car
BMW,R 1150 RT,MOTORCYCLE,Motorcycle
BMW,R 1200 GS,MOTORCYCLE,Motorcycle
BMW,X1,PASSENGER CAR,Passenger Car
BMW,X1,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
